brand,product_name,parent_category,child_category,materials,price
Hollister,Ruched Babydoll Top,Tops,Shirt/Blouse,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester",29.95
Hollister,Cable-Knit Bow Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 20% Viscose, 20% Nylon",39.95
Hollister,Oversized Heart Graphic Crew Sweatshirt,Tops,Hoodie/Sweatshirt,"Body:60% Cotton, 40% Recycled Polyester",49.95
Hollister,Low-Rise Medium Wash Teardown Pocket Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",59.95
Hollister,Easy Flying Birds Graphic Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",49.95
Hollister,Low-Rise White Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",54.95
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane",14.95
Hollister,Easy Jumping Fish Graphic Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",49.95
Hollister,Easy Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",39.95
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body:96% Cotton, 4% Elastane",14.95
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Recycled Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",44.95
Hollister,Low-Rise Boot Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane",14.95
Hollister,Oversized Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Recycled Polyester",39.95
Hollister,Oversized Angel Wings Graphic Crew Sweatshirt,Tops,Hoodie/Sweatshirt,"Body:60% Cotton, 40% Recycled Polyester",49.95
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95
Hollister,Low-Rise Poplin Shortie Shorts,Bottoms,Shorts,"Body:98% Cotton, 2% Elastane / Pocket Bag:65% Polyester, 35% Cotton",39.95
Hollister,Low-Rise Dark Wash Boot Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95
